(-1.5,-1.5,0.0)
(-1.5,1.5,0.0)
(1.5,-1.5,0.0)
(1.5,1.5,0.0)
(-1.4,-1.4,0.0)
(-1.4,-0.6,0.0)
(-0.6,-1.4,0.0)
(-0.6,-0.6,0.0)
(-1.4,-0.3999999999999999,0.0)
(-1.4,0.40000000000000013,0.0)
(-0.6,-0.3999999999999999,0.0)
(-0.6,0.40000000000000013,0.0)
(-1.4,0.6000000000000001,0.0)
(-1.4,1.4000000000000004,0.0)
(-0.6,0.6000000000000001,0.0)
(-0.6,1.4000000000000004,0.0)
(-0.3999999999999999,-1.4,0.0)
(-0.3999999999999999,-0.6,0.0)
(0.40000000000000013,-1.4,0.0)
(0.40000000000000013,-0.6,0.0)
(-0.3999999999999999,-0.3999999999999999,0.0)
(-0.3999999999999999,0.40000000000000013,0.0)
(0.40000000000000013,-0.3999999999999999,0.0)
(0.40000000000000013,0.40000000000000013,0.0)
(-0.3999999999999999,0.6000000000000001,0.0)
(-0.3999999999999999,1.4000000000000004,0.0)
(0.40000000000000013,0.6000000000000001,0.0)
(0.40000000000000013,1.4000000000000004,0.0)
(0.6000000000000001,-1.4,0.0)
(0.6000000000000001,-0.6,0.0)
(1.4000000000000004,-1.4,0.0)
(1.4000000000000004,-0.6,0.0)
(0.6000000000000001,-0.3999999999999999,0.0)
(0.6000000000000001,0.40000000000000013,0.0)
(1.4000000000000004,-0.3999999999999999,0.0)
(1.4000000000000004,0.40000000000000013,0.0)
(0.6000000000000001,0.6000000000000001,0.0)
(0.6000000000000001,1.4000000000000004,0.0)
(1.4000000000000004,0.6000000000000001,0.0)
(1.4000000000000004,1.4000000000000004,0.0)
